성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
2020.06,4. 중화학 공업품,"44,422","2,737,403",,
2020.06,가. 화공품,"2,934","46,965",,
2020.06,나. 철강제품,"8,375","274,074",,
2020.06,다. 기계류와 정밀기기,"18,291","1,174,625",,
2020.06,"라. 전기, 전자제품","9,891","252,949",,
2020.06,마. 수송장비,"4,162","897,338",,
2020.06,바. 기 타,769,"91,453",,
총계,,"66,183","3,017,498",,
2020.07,1. 식료 및 직접소비재,"2,943","80,649",,
2020.07,2. 원료 및 연료,792,"18,295",,
2020.07,3. 경공업품,"11,186","166,066",,
2020.07,가. 섬유원료,103,"2,864",,
2020.07,나. 섬유사,213,"1,952",,
2020.07,다. 직 물,897,"5,930",,
2020.07,라. 기타 섬유제품,"2,124","10,005",,
2020.07,마. 의 류,155,"1,962",,
2020.07,바. 목제품,239,"1,863",,
2020.07,"사. 가죽, 고무 및 신발류","3,724","95,200",,
2020.07,아. 귀금속 및 보석류,9,114,,
2020.07,자. 기타 비금속 광물제품,256,"3,378",,
2020.07,"차. 완구, 운동용구 및 악기",414,762,,
2020.07,카. 기 타,"3,052","42,034",,
2020.07,4. 중화학 공업품,"51,262","2,752,489",,
2020.07,가. 화공품,"3,790","51,679",,
2020.07,나. 철강제품,"9,901","263,893",,
2020.07,다. 기계류와 정밀기기,"20,936","770,767",,
2020.07,"라. 전기, 전자제품","10,159","291,963",,
2020.07,마. 수송장비,"5,751","1,270,314",,
2020.07,바. 기 타,725,"103,872",,
