성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
2020.06,4. 중화학 공업품,"23,529","1,744,796",,
2020.06,가. 화공품,"6,128","381,649",,
2020.06,나. 철강제품,"3,458","61,885",,
2020.06,다. 기계류와 정밀기기,"3,630","212,936",,
2020.06,"라. 전기, 전자제품","8,528","1,039,775",,
2020.06,마. 수송장비,601,"22,704",,
2020.06,바. 기 타,"1,184","25,848",,
총계,,"34,248","2,007,003",,
2020.07,1. 식료 및 직접소비재,"1,600","39,678",,
2020.07,2. 원료 및 연료,299,"11,475",,
2020.07,3. 경공업품,"5,607","78,477",,
2020.07,가. 섬유원료,17,573,,
2020.07,나. 섬유사,79,"1,486",,
2020.07,다. 직 물,117,"2,438",,
2020.07,라. 기타 섬유제품,352,"6,748",,
2020.07,마. 의 류,594,332,,
2020.07,바. 목제품,328,"5,459",,
2020.07,"사. 가죽, 고무 및 신발류",307,"3,354",,
2020.07,아. 귀금속 및 보석류,64,"1,273",,
2020.07,자. 기타 비금속 광물제품,296,"16,281",,
2020.07,"차. 완구, 운동용구 및 악기",51,"1,439",,
2020.07,카. 기 타,"3,402","39,094",,
2020.07,4. 중화학 공업품,"26,742","1,877,372",,
2020.07,가. 화공품,"7,179","446,758",,
2020.07,나. 철강제품,"4,080","81,567",,
2020.07,다. 기계류와 정밀기기,"4,150","254,012",,
2020.07,"라. 전기, 전자제품","9,105","1,030,099",,
2020.07,마. 수송장비,904,"38,021",,
2020.07,바. 기 타,"1,324","26,916",,
