성질별 국가별 수출입실적,,,,,
,,,,,
"통계구분:수리일기준,조회기간:201908 ~202007 ,성질명:전체,수출입구분:수출,국가:[중국]",,,,,
,,,,,"단위:천 불(USD 1,000) / 톤(TON)"
기간,수출입구분,국가명,성질명,중량,금액
2020.05,수출,중국,다. 기계류와 정밀기기,"75,725.6","1,499,652"
2020.05,수출,중국,"라. 전기, 전자제품","19,726.2","5,255,342"
2020.05,수출,중국,마. 수송장비,"16,006.8","118,023"
2020.05,수출,중국,바. 기 타,"25,356.8","388,891"
2020.06,수출,중국,1. 식료 및 직접소비재,"56,009.0","121,505"
2020.06,수출,중국,2. 원료 및 연료,"2,339,509.7","1,025,615"
2020.06,수출,중국,3. 경공업품,"400,087.2","395,801"
2020.06,수출,중국,가. 섬유원료,"11,732.1","20,869"
2020.06,수출,중국,나. 섬유사,"1,821.8","12,524"
2020.06,수출,중국,다. 직 물,"2,964.0","35,260"
2020.06,수출,중국,라. 기타 섬유제품,"1,502.9","16,710"
2020.06,수출,중국,마. 의 류,"1,658.3","28,363"
2020.06,수출,중국,바. 목제품,"1,892.2","24,764"
2020.06,수출,중국,"사. 가죽, 고무 및 신발류","2,815.0","42,740"
2020.06,수출,중국,아. 귀금속 및 보석류,"1,320.6","7,780"
2020.06,수출,중국,자. 기타 비금속 광물제품,"266,320.2","66,462"
2020.06,수출,중국,"차. 완구, 운동용구 및 악기","1,240.9","3,586"
2020.06,수출,중국,카. 기 타,"106,819.0","136,743"
2020.06,수출,중국,4. 중화학 공업품,"2,784,205.5","9,900,319"
2020.06,수출,중국,가. 화공품,"1,873,659.9","1,956,405"
2020.06,수출,중국,나. 철강제품,"761,814.2","697,041"
2020.06,수출,중국,다. 기계류와 정밀기기,"73,226.8","1,546,074"
2020.06,수출,중국,"라. 전기, 전자제품","23,422.6","5,162,449"
2020.06,수출,중국,마. 수송장비,"18,928.4","128,631"
2020.06,수출,중국,바. 기 타,"33,153.6","409,719"
2020.07,수출,중국,1. 식료 및 직접소비재,"49,544.3","112,515"
2020.07,수출,중국,2. 원료 및 연료,"2,172,288.0","1,016,761"
2020.07,수출,중국,3. 경공업품,"288,134.0","406,239"
2020.07,수출,중국,가. 섬유원료,"8,863.6","15,733"
2020.07,수출,중국,나. 섬유사,"1,809.4","12,576"
2020.07,수출,중국,다. 직 물,"3,452.6","40,292"
2020.07,수출,중국,라. 기타 섬유제품,"1,851.4","19,748"
2020.07,수출,중국,마. 의 류,"1,789.7","30,422"
2020.07,수출,중국,바. 목제품,"2,298.7","23,723"
2020.07,수출,중국,"사. 가죽, 고무 및 신발류","2,847.4","35,570"
2020.07,수출,중국,아. 귀금속 및 보석류,88.2,"7,339"
2020.07,수출,중국,자. 기타 비금속 광물제품,"147,092.4","66,686"
2020.07,수출,중국,"차. 완구, 운동용구 및 악기","1,787.2","4,012"
2020.07,수출,중국,카. 기 타,"116,253.5","150,138"
2020.07,수출,중국,4. 중화학 공업품,"2,532,404.5","10,190,669"
2020.07,수출,중국,가. 화공품,"1,689,607.5","1,990,702"
2020.07,수출,중국,나. 철강제품,"695,642.7","706,413"
2020.07,수출,중국,다. 기계류와 정밀기기,"72,925.8","1,755,217"
2020.07,수출,중국,"라. 전기, 전자제품","25,355.7","5,173,762"
2020.07,수출,중국,마. 수송장비,"25,995.9","175,708"
2020.07,수출,중국,바. 기 타,"22,876.9","388,867"
